identificationOfVehicle,crimeDate,casualties,crimeLng,crimeLtd,crimeLocation,crimeTime,crimeVictim,crimeVehicle,noOfCriminal,msr,typeOfCrime,Vsr
,20 : 10 : 2017,No,24.827737500000005,67.06555078125,"Golf Course Road 3, Karachi, Pakistan",10:15 PM,you,bike,2,"Samsung s5
",Sexual harassment,
,20 : 10 : 2017,No,,,,12:35 PM,you, ,3,,Mobile snatching,
,22 : 10 : 2017,Yes,,,,5:42 PM,you, ,1,,Mobile snatching,
,4 : 10 : 2017,No,24.834272500000004,67.05629296875001,"Circular Ave, Karachi, Pakistan",6:45 PM,stranger,bike,2,,Sexual harassment,
,19 : 10 : 2017,Yes,24.8325425,67.07843359375003,"13 Korangi Road, Karachi 75500, Pakistan",6:0 PM,stranger,bike,3,,Murder,
,22 : 10 : 2017,No,24.859827499999987,67.05262109375002,"Shahrah-e-Faisal Service Rd N, Karachi, Pakistan",11:19 PM,your friend,bike,2,,Blast,
,21 : 10 : 2017,No,24.8265575,67.07094140625004,"20th Ln, Karachi 75500, Pakistan",5:18 PM,you,bike,3,"qmobile
",Mobile snatching,
,14 : 10 : 2017,No,24.8433475,67.06962890625003,"10th St E, Karachi, Pakistan",1:20 PM,your relative,bike,3,Huwawei,Mobile snatching,
,13 : 10 : 2017,Yes,24.8302725,67.05587109375001,"Sunset Blvd Rd, Karachi, Pakistan",7:19 PM,your relative,bike,more than 3,"Samsung 
",Mobile snatching,
,18 : 10 : 2017,No,24.831777499999994,67.07387109375001,"Khayban-e-Ittehad Rd, Karachi 75500, Pakistan",6:22 PM,your friend,bike,2,Huwawei,Robbery,
,22 : 10 : 2017,No,24.83543338716175,67.06616191193461,,6:0 PM,you,car,2,,Mobile snatching,
,22 : 10 : 2017,Yes,24.807382499999996,67.04368359375,"Khayaban-e-Janbaz, Karachi, Pakistan",6:0 PM,you,bike,2,IPhone 7s,Mobile snatching,
,16 : 10 : 2017,No,24.828267500000003,67.07637109375001,"Khayaban-e-Abbasi, Karachi 75500, Pakistan",6:0 PM,stranger,bike,2,IPhone 8,Mobile snatching,
,22 : 10 : 2017,No,24.838502499999997,67.07931640625002,"bb 15, Karachi 75500, Pakistan",8:37 PM,you,bike,2,"Samsung 
",Robbery,
,20 : 10 : 2017,No,24.82797250000001,67.06180859375,"Nisar Shaheed Park Rd, Karachi, Pakistan",6:38 PM,your friend,bike,2,Q mobile ,Mobile snatching,
,21 : 10 : 2017,Yes,,,,7:39 PM,you, ,more than 3,Q mobile ,Robbery,
,14 : 10 : 2017,Yes,,,,12:38 PM,, ,more than 3,"Samsung 
",Blast,
,22 : 10 : 2017,No,24.867377499999996,67.08970703125003,"12th Street, Karachi, Pakistan",5:5 PM,stranger,bike,more than 3,"Samsung 
",Murder,
,22 : 10 : 2017,Yes,24.803867500000003,67.05915234375,"Khayaban-e-Seher, Karachi, Pakistan",8:50 PM,stranger,bike,3,Q mobile ,Sexual harassment,
,22 : 10 : 2017,Yes,24.833512500000005,67.08098828125001,"Expressway, Karachi 75500, Pakistan",12:40 PM,your friend,bike,2,,Mobile snatching,
,22 : 10 : 2017,No,24.831982500000002,67.04891015625002,"17th S St, Karachi, Pakistan",11:42 PM,your friend,bike,3,,Mobile snatching,
,6 : 7 : 2017,Yes,,,,6:41 PM,you, ,2,,Mobile snatching,
,6 : 9 : 2017,No,,,,6:42 PM,you, ,2,,Mobile snatching,
,7 : 10 : 2017,No,24.938047520164705,67.10228422656655,null,5:42 PM,you,bike,1,qmobile ,Mobile snatching,
,5 : 10 : 2017,Yes,24.901557500000003,67.03873046874999,"Altaf Ali Barelvi Rd, Karachi, Pakistan",1:43 AM,you,bike,2,Samsung ,Mobile snatching,
,3 : 10 : 2017,Yes,24.938047520164705,67.10228422656655,null,6:43 PM,you,bike,1,qmobile ,Blast,
,9 : 10 : 2017,Yes,24.901557500000003,67.03873046874999,"Altaf Ali Barelvi Rd, Karachi, Pakistan",6:44 PM,stranger,bike,1,,Mobile snatching,
,18 : 10 : 2017,Yes,24.858631122210333,67.08798369392753,null,4:5 AM,you,bike,3,,Mobile snatching,
no,20 : 10 : 1900,No,24.8614622,67.0099388,"Karachi, Pakistan",3:15 PM,you,bike,2,"samsung note 3,q mobile a500 ",Mobile snatching,
,27 : 1 : 1900,No,,,,5:42 PM,stranger, ,more than 3,,Kidnapping,
,12 : 5 : 2017,No,,,,6:0 PM,your friend, ,3,,Robbery,
,27 : 1 : 1900,Yes,,,,5:47 PM,stranger, ,more than 3,,Kidnapping,
,8 : 4 : 2017,No,,,,6:1 PM,you, ,3,,Mobile snatching,
,6 : 12 : 2016,Yes,24.85526749999999,67.04069921875002,"Shahrah-e-Faisal, Karachi, Pakistan",6:50 PM,you,bike,3,,Robbery,
,31 : 12 : 2015,No,,,,10:0 PM,you, ,3,,Murder,
,16 : 8 : 2016,No,24.85347749999999,67.07222265625002,"Mehmoodabad No 3, Karachi, Pakistan",2:59 PM,your relative,bike,2,,Mobile snatching,
,16 : 10 : 2015,No,,,,9:0 PM,your friend, ,2,,Mobile snatching,
,18 : 9 : 2014,No,,,,9:0 PM,stranger, ,3,,Robbery,
,16 : 11 : 2012,Yes,,,,6:1 PM,your relative, ,3,,Mobile snatching,
,12 : 1 : 2017,No,24.917687500000007,67.06152734375002,"165/2 Hussainabad Food St, Karachi, Pakistan",9:2 PM,your friend,bike,more than 3,,Mobile snatching,
,17 : 11 : 2016,No,,,,6:49 PM,stranger, ,3,,Sexual harassment,
,14 : 10 : 2016,No,,,,6:3 PM,your friend, ,1,,Mobile snatching,
,20 : 12 : 2016,No,,,,1:52 PM,stranger, ,2,,Mobile snatching,
,15 : 7 : 2016,No,24.872977499999998,67.04876953125002,"Kashmir Rd, Karachi, Pakistan",12:4 AM,you,bike,2,,Mobile snatching,
,14 : 8 : 2015,No,,,,12:25 AM,you, ,2,,Mobile snatching,
,8 : 12 : 2016,Yes,,,,11:7 PM,you, ,2,,Mobile snatching,
,13 : 2 : 2016,No,,,,12:30 AM,your friend, ,2,,Mobile snatching,
,18 : 3 : 2017,No,,,,6:8 PM,you, ,2,,Robbery,
,16 : 6 : 2017,No,,,,12:50 AM,your friend, ,2,,Mobile snatching,
,14 : 12 : 2016,Yes,,,,3:0 AM,stranger, ,1,,Murder,
,13 : 11 : 2015,Yes,,,,6:0 PM,you, ,2,,Mobile snatching,
,10 : 1 : 2015,Yes,,,,6:0 PM,your friend, ,2,,Mobile snatching,
,20 : 7 : 2013,Yes,,,,12:0 PM,, ,2,,Blast,
,31 : 12 : 2015,Yes,,,,6:10 PM,your friend, ,3,,Mobile snatching,
,17 : 1 : 2014,Yes,24.853632499999996,67.02595703125003,"Din Mohammad Wafai Rd, Karachi, Pakistan",11:30 PM,your friend,bike,3,,Mobile snatching,
,30 : 12 : 2016,Yes,,,,6:0 PM,you, ,2,,Mobile snatching,
,6 : 7 : 2015,Yes,,,,11:15 PM,your friend, ,3,,Mobile snatching,
,5 : 11 : 2015,Yes,,,,12:30 PM,your friend, ,2,,Kidnapping,
,31 : 12 : 2019,Yes,,,,9:18 PM,your friend, ,3,,Mobile snatching,
,22 : 12 : 2016,No,,,,12:45 PM,your friend, ,2,,Mobile snatching,
,6 : 12 : 2017,No,24.87330749999999,67.05858203125003,"Khushal Rd, Karachi, Pakistan",12:21 PM,your friend,car,2,,Mobile snatching,
,13 : 9 : 2012,No,,,,6:0 PM,your friend, ,2,,Mobile snatching,
,11 : 1 : 2017,No,,,,12:30 PM,you, ,3,,Vehicle Snatching,
,15 : 9 : 2017,No,,,,12:22 PM,your friend, ,3,,Mobile snatching,
,15 : 9 : 2016,No,,,,12:45 PM,your friend, ,1,,Mobile snatching,
,13 : 10 : 2011,No,,,,12:22 PM,your friend, ,3,,Mobile snatching,
,31 : 12 : 2015,Yes,,,,12:13 AM,your friend, ,3,,Mobile snatching,
,31 : 12 : 2013,No,,,,11:24 PM,stranger, ,3,,Mobile snatching,
,14 : 3 : 2014,Yes,,,,6:23 PM,your friend, ,2,,Mobile snatching,
,12 : 5 : 2016,No,,,,12:46 PM,you, ,2,,Mobile snatching,
,9 : 11 : 2016,Yes,,,,12:25 PM,, ,more than 3,,Blast,
,20 : 11 : 2009,Yes,,,,6:23 PM,, ,2,,Murder,
,12 : 11 : 2016,No,,,,12:30 AM,you, ,3,,Mobile snatching,
,12 : 11 : 2016,Yes,,,,12:45 AM,you, ,3,,Mobile snatching,
,21 : 12 : 2006,Yes,,,,6:25 PM,stranger, ,3,,Sexual harassment,
,23 : 11 : 2016,Yes,,,,11:26 PM,stranger, ,3,,Sexual harassment,
,31 : 12 : 2015,No,,,,12:40 PM,your friend, ,2,,Mobile snatching,
,11 : 12 : 2014,Yes,,,,12:15 PM,you, ,3,,Mobile snatching,
,8 : 10 : 2015,No,,,,12:30 PM,your friend, ,3,,Blast,
,11 : 12 : 2014,Yes,,,,12:15 AM,your relative, ,2,,Mobile snatching,
,6 : 7 : 2017,Yes,,,,12:48 PM,your friend, ,1,,Mobile snatching,
,31 : 12 : 2015,No,,,,6:6 PM,your relative, ,more than 3,,Mobile snatching,
,31 : 12 : 2015,Yes,,,,6:30 PM,you, ,2,,Mobile snatching,
,31 : 12 : 2015,Yes,,,,6:31 PM,you, ,3,,Mobile snatching,
,31 : 12 : 2015,Yes,,,,6:31 PM,you, ,2,,Mobile snatching,
,31 : 12 : 2014,Yes,,,,12:32 PM,you, ,3,,Mobile snatching,
,31 : 12 : 2014,No,,,,6:33 PM,you, ,2,,Mobile snatching,
,31 : 12 : 2016,Yes,,,,10:34 PM,you, ,3,,Mobile snatching,
,31 : 12 : 2014,No,,,,12:33 PM,your friend, ,2,,Mobile snatching,
,31 : 12 : 2017,Yes,,,,11:35 PM,you, ,2,,Mobile snatching,
,15 : 3 : 2012,Yes,,,,10:38 PM,you, ,2,,Mobile snatching,
,24 : 2 : 2016,Yes,,,,6:39 PM,you, ,3,,Mobile snatching,
,14 : 2 : 2016,No,,,,6:1 PM,stranger, ,2,,Sexual harassment,
,14 : 2 : 2016,No,,,,6:0 PM,stranger, ,2,,Sexual harassment,
,16 : 12 : 2011,Yes,,,,3:41 PM,you, ,3,,Mobile snatching,
,9 : 8 : 2017,No,,,,11:43 PM,you, ,2,,Mobile snatching,
,31 : 12 : 2014,Yes,,,,6:42 PM,you, ,1,,Mobile snatching,
,31 : 12 : 2015,No,,,,11:43 PM,your relative, ,2,,Murder,
,3 : 10 : 2017,No,,,,11:5 PM,stranger, ,2,,Mobile snatching,
,18 : 2 : 2016,Yes,,,,6:12 PM,stranger, ,2,,Mobile snatching,
,10 : 11 : 2016,Yes,,,,11:47 PM,you, ,3,,Mobile snatching,
,10 : 12 : 2014,Yes,,,,6:46 PM,you, ,2,,Mobile snatching,
,8 : 4 : 2016,Yes,,,,12:29 PM,you, ,2,,Mobile snatching,
,4 : 3 : 2016,Yes,,,,12:30 PM,you, ,2,,Mobile snatching,
,12 : 9 : 2017,Yes,,,,12:30 PM,your relative, ,3,,Mobile snatching,
,9 : 12 : 2016,Yes,,,,12:30 PM,your friend, ,2,,Vehicle Snatching,
,31 : 12 : 2016,Yes,,,,10:50 PM,you, ,2,,Mobile snatching,
,6 : 12 : 2016,Yes,,,,10:50 PM,you, ,1,,Mobile snatching,
,13 : 9 : 2016,No,,,,12:28 PM,you, ,2,,Mobile snatching,
,10 : 11 : 2016,No,,,,12:27 PM,you, ,2,,Mobile snatching,
,7 : 10 : 2015,Yes,,,,6:18 PM,stranger, ,2,,Murder,
,17 : 12 : 2014,Yes,,,,10:43 PM,stranger, ,3,,Mobile snatching,
,8 : 10 : 2013,Yes,,,,12:55 PM,stranger, ,2,,Blast,
,8 : 7 : 2016,No,,,,10:4 PM,stranger, ,2,,Blast,
,9 : 6 : 2015,Yes,,,,4:0 PM,you, ,3,,Mobile snatching,
,8 : 6 : 2017,Yes,,,,8:0 PM,you, ,1,,Mobile snatching,
,31 : 12 : 2016,Yes,,,,12:30 AM,you, ,3,,Mobile snatching,
,11 : 11 : 2015,No,,,,10:0 AM,you, ,3,,Mobile snatching,
,26 : 11 : 2015,Yes,,,,9:0 PM,you, ,3,,Vehicle Snatching,
,13 : 11 : 2014,Yes,,,,6:0 PM,you, ,2,,Mobile snatching,
,31 : 12 : 2015,Yes,,,,6:0 PM,you, ,2,,Mobile snatching,
,7 : 12 : 2015,No,24.831267500000003,67.04566015625001,"Street Number 5, Karachi 75500, Pakistan",5:26 AM,stranger,bike,3,,Robbery,
,11 : 10 : 2016,Yes,24.8369017,67.05018249999999,"Lily Bridge Rd، Karachi, Pakistan",12:20 PM,your relative,bike,3,,Vehicle Snatching,
,5 : 10 : 2017,No,,,,2:50 AM,your relative, ,3,,Mobile snatching,
,17 : 3 : 2017,No,,,,5:6 PM,you, ,2,Hhh,Mobile snatching,Jj
,21 : 11 : 2017,Yes,24.817101299999997,67.1077583,"Korangi, Karachi, Pakistan",7:20 PM,you,bike,2,,Mobile snatching,Jj
,1 : 9 : 2017,No,24.828012500000007,67.03975390625,"Karachi 75500, Pakistan",6:0 PM,you,bike,2,,Mobile snatching,Jj
,6 : 9 : 2017,No,24.827787499999992,67.03702734375001,"Karachi 75500, Pakistan",6:32 AM,you,bike,2,,Mobile snatching,Jj
,13 : 9 : 2017,No,24.827957500000004,67.04101953125,"Kheyaban-e-Roomi, Karachi, Pakistan",7:15 PM,you,bike,2,,Mobile snatching,Jj
,6 : 9 : 2017,No,24.827902500000004,67.04055078124999,"Kheyaban-e-Roomi, Karachi, Pakistan",6:45 PM,you,bike,2,,Mobile snatching,Jj
,20 : 9 : 2017,No,24.828687500000008,67.03476171875,"Khayaban-e-Iqbal Underpass, Karachi 75500, Pakistan",8:30 PM,you,bike,2,,Mobile snatching,Jj
